Entidad,Fecha,Ratio de Capital Global (%),Morosidad (%)
Banco de Crédito,31/01/2016,14.12,2.53
Banco de Crédito,29/02/2016,14.3,2.51
Banco de Crédito,31/03/2016,15,2.58
Banco de Crédito,30/04/2016,15.12,2.72
Banco de Crédito,31/05/2016,15.73,2.82
Banco de Crédito,30/06/2016,15.76,2.74
Banco de Crédito,31/07/2016,15.67,2.76
Banco de Crédito,31/08/2016,15.65,2.8
Banco de Crédito,30/09/2016,15.56,2.74
Banco de Crédito,31/10/2016,15.7,2.83
Banco de Crédito,30/11/2016,15.54,2.79
Banco de Crédito,31/12/2016,15.35,2.71
Banco de Crédito,31/01/2017,15.59,2.77
Banco de Crédito,28/02/2017,15.46,2.79
Banco de Crédito,31/03/2017,16.73,2.94
Banco de Crédito,30/04/2017,16.56,2.89
Banco de Crédito,31/05/2017,16.69,2.91
Banco de Crédito,30/06/2017,16.49,2.9
Banco de Crédito,31/07/2017,16.26,2.9
Banco de Crédito,31/08/2017,16.49,2.93
Banco de Crédito,30/09/2017,16.35,2.99
Banco de Crédito,31/10/2017,15.6,3
Banco de Crédito,30/11/2017,15.48,2.96
Banco de Crédito,31/12/2017,15.05,2.97
Banco de Crédito,31/01/2018,15.22,2.96
Banco de Crédito,28/02/2018,14.98,3.19
Banco de Crédito,31/03/2018,15.91,2.86
Banco de Crédito,30/04/2018,15.67,2.86
Banco de Crédito,31/05/2018,15.64,2.89
Banco de Crédito,30/06/2018,15.07,2.9
Banco de Crédito,31/07/2018,15.23,2.94
Banco de Crédito,31/08/2018,15.07,2.93
Banco de Crédito,30/09/2018,14.94,2.91
Banco de Crédito,31/10/2018,14.68,2.88
Banco de Crédito,30/11/2018,14.51,2.81
Banco de Crédito,31/12/2018,14.17,2.66
Banco de Crédito,31/01/2019,14.15,2.8
Banco de Crédito,28/02/2019,14.26,2.76
Banco de Crédito,31/03/2019,15.49,2.74
Banco de Crédito,30/04/2019,15.44,2.83
Banco de Crédito,31/05/2019,15.27,2.85
Banco de Crédito,30/06/2019,14.95,2.87
Banco de Crédito,31/07/2019,14.84,2.91
Banco de Crédito,31/08/2019,14.8,2.85
Banco de Crédito,30/09/2019,15.45,2.83
Banco de Crédito,31/10/2019,15.28,2.76
Banco de Crédito,30/11/2019,14.55,2.71
Banco de Crédito,31/12/2019,14.47,2.71
Banco de Crédito,31/01/2020,14.06,2.81
