Entidad,Fecha,Ratio de Capital Global (%),Morosidad (%)
CMAC Sullana,31/01/2016,12.74,4.87
CMAC Sullana,29/02/2016,12.68,4.97
CMAC Sullana,31/03/2016,12.65,4.87
CMAC Sullana,30/04/2016,12.4,5.11
CMAC Sullana,31/05/2016,13.44,5.17
CMAC Sullana,30/06/2016,13.43,5.17
CMAC Sullana,31/07/2016,13.98,5.36
CMAC Sullana,31/08/2016,14.72,5.25
CMAC Sullana,30/09/2016,13.67,5.23
CMAC Sullana,31/10/2016,13.51,4.95
CMAC Sullana,30/11/2016,13.99,4.8
CMAC Sullana,31/12/2016,13.6,4.6
CMAC Sullana,31/01/2017,13.59,4.73
CMAC Sullana,28/02/2017,13.41,5.24
CMAC Sullana,31/03/2017,13.38,4.83
CMAC Sullana,30/04/2017,13.26,4.85
CMAC Sullana,31/05/2017,13.11,4.67
CMAC Sullana,30/06/2017,13.16,5.14
CMAC Sullana,31/07/2017,13.01,4.97
CMAC Sullana,31/08/2017,13.11,4.82
CMAC Sullana,30/09/2017,13.19,5.17
CMAC Sullana,31/10/2017,13.19,5.47
CMAC Sullana,30/11/2017,13.2,5.95
CMAC Sullana,31/12/2017,12.86,6.52
CMAC Sullana,31/01/2018,13.17,7.83
CMAC Sullana,28/02/2018,13.4,9.04
CMAC Sullana,31/03/2018,12.73,10.74
CMAC Sullana,30/04/2018,13.39,11.47
CMAC Sullana,31/05/2018,13.33,10.88
CMAC Sullana,30/06/2018,13.25,11.94
CMAC Sullana,31/07/2018,13.14,13.53
CMAC Sullana,31/08/2018,13.08,14.69
CMAC Sullana,30/09/2018,13.23,15.78
CMAC Sullana,31/10/2018,13.3,16.37
CMAC Sullana,30/11/2018,13.6,14.83
CMAC Sullana,31/12/2018,13.55,15.35
CMAC Sullana,31/01/2019,13.36,16.63
CMAC Sullana,28/02/2019,13.78,18.21
CMAC Sullana,31/03/2019,13.95,18.57
CMAC Sullana,30/04/2019,13.74,18.44
CMAC Sullana,31/05/2019,13.5,17.53
CMAC Sullana,30/06/2019,13.53,16.65
CMAC Sullana,31/07/2019,13.5,16.97
CMAC Sullana,31/08/2019,13.49,17.07
CMAC Sullana,30/09/2019,13.48,17.34
CMAC Sullana,31/10/2019,13.55,17.51
CMAC Sullana,30/11/2019,13.73,17.25
CMAC Sullana,31/12/2019,14,17.43
CMAC Sullana,31/01/2020,13.92,19.09
CMAC Sullana,29/02/2020,14.03,19.29
CMAC Sullana,31/03/2020,14.41,18.08
CMAC Sullana,30/04/2020,14.17,18.77
CMAC Sullana,31/05/2020,14.23,18.44
CMAC Sullana,30/06/2020,13.93,17.91
CMAC Sullana,31/07/2020,13.58,15.85
CMAC Sullana,31/08/2020,13.28,15.03
CMAC Sullana,30/09/2020,12.79,13.01
CMAC Sullana,31/10/2020,12.36,12.45
CMAC Sullana,30/11/2020,12,11.7
CMAC Sullana,31/12/2020,11.98,11.08
CMAC Sullana,31/01/2021,11.61,11.73
CMAC Sullana,28/02/2021,11.27,12.04
CMAC Sullana,31/03/2021,10.61,12.18
CMAC Sullana,30/04/2021,9.95,12.83
CMAC Sullana,31/05/2021,9.65,13.03
CMAC Sullana,30/06/2021,9.22,13.2
CMAC Sullana,31/07/2021,8.43,13.53
CMAC Sullana,31/08/2021,9,13.87
CMAC Sullana,30/09/2021,8.93,13.98
CMAC Sullana,31/10/2021,8.62,14.22
CMAC Sullana,30/11/2021,8.57,14.27
CMAC Sullana,31/12/2021,8.54,12.22
CMAC Sullana,31/01/2022,8.61,13.21
CMAC Sullana,28/02/2022,8.68,13.83
CMAC Sullana,31/03/2022,8.78,14.31
CMAC Sullana,30/04/2022,16.42,14.92
CMAC Sullana,31/05/2022,16.34,12.51
CMAC Sullana,30/06/2022,16.24,13.21
CMAC Sullana,31/07/2022,16.05,14.16
CMAC Sullana,31/08/2022,15.79,14.76
CMAC Sullana,30/09/2022,15.4,15.47
CMCP Lima,31/01/2016,11.59,12.12
CMCP Lima,29/02/2016,11.45,12.47
CMCP Lima,31/03/2016,11.56,13.96
CMCP Lima,30/04/2016,11.48,13.51
CMCP Lima,31/05/2016,11.37,12.69
CMCP Lima,30/06/2016,13.81,13.73
CMCP Lima,31/07/2016,14.25,13.81
CMCP Lima,31/08/2016,14.29,13.48
CMCP Lima,30/09/2016,14.4,13.33
CMCP Lima,31/10/2016,14.15,13.47
CMCP Lima,30/11/2016,13.28,13.44
CMCP Lima,31/12/2016,14.17,14.92
CMCP Lima,31/01/2017,14.15,15.94
CMCP Lima,28/02/2017,14.08,15.07
CMCP Lima,31/03/2017,14.28,16.47
CMCP Lima,30/04/2017,14.67,15.72
CMCP Lima,31/05/2017,16.03,15.46
CMCP Lima,30/06/2017,16.38,13.92
CMCP Lima,31/07/2017,16.29,14.35
CMCP Lima,31/08/2017,16.26,15.23
CMCP Lima,30/09/2017,16.72,16.96
CMCP Lima,31/10/2017,16.71,14.76
CMCP Lima,30/11/2017,15.68,10.96
CMCP Lima,31/12/2017,15.26,9.05
CMCP Lima,31/01/2018,15.01,8.26
CMCP Lima,28/02/2018,14.86,9.39
CMCP Lima,31/03/2018,14.76,12.25
CMCP Lima,30/04/2018,14,12.33
CMCP Lima,31/05/2018,13.81,12.85
CMCP Lima,30/06/2018,13.25,14.51
CMCP Lima,31/07/2018,13.98,14.87
CMCP Lima,31/08/2018,13.6,17.75
CMCP Lima,30/09/2018,13.35,16.49
CMCP Lima,31/10/2018,13.66,15.4
CMCP Lima,30/11/2018,13.1,15.93
CMCP Lima,31/12/2018,12.47,16.58
CMCP Lima,31/01/2019,13.7,19.65
CMCP Lima,28/02/2019,13.88,19.21
CMCP Lima,31/03/2019,13.84,18.7
CMCP Lima,30/04/2019,13.49,19.66
CMCP Lima,31/05/2019,13.72,21.82
CMCP Lima,30/06/2019,13.68,22.14
CMCP Lima,31/07/2019,13.49,22.12
CMCP Lima,31/08/2019,13.61,22.41
CMCP Lima,30/09/2019,13.84,20.46
CMCP Lima,31/10/2019,13.54,20.34
CMCP Lima,30/11/2019,13.58,20.66
CMCP Lima,31/12/2019,16.85,21.25
CMCP Lima,31/01/2020,16,21.51
CMCP Lima,29/02/2020,16.79,20.81
CMCP Lima,31/03/2020,16.8,21.36
CMCP Lima,30/04/2020,17.38,20.84
CMCP Lima,31/05/2020,17.99,21.04
CMCP Lima,30/06/2020,18.88,19.98
CMCP Lima,31/07/2020,19.17,19.66
CMCP Lima,31/08/2020,19.39,19
CMCP Lima,30/09/2020,19.28,17.74
CMCP Lima,31/10/2020,18.92,17.64
CMCP Lima,30/11/2020,20.62,16.43
CMCP Lima,31/12/2020,20.4,13.93
CMCP Lima,31/01/2021,19.46,14.34
CMCP Lima,28/02/2021,16.77,15.05
CMCP Lima,31/03/2021,18.06,15.57
CMCP Lima,30/04/2021,18.35,15.44
CMCP Lima,31/05/2021,17.69,15.41
CMCP Lima,30/06/2021,16.92,10.95
CMCP Lima,31/07/2021,15.43,12.51
CMCP Lima,31/08/2021,15.16,12.98
CMCP Lima,30/09/2021,14.51,11.93
CMCP Lima,31/10/2021,13.83,11.91
CMCP Lima,30/11/2021,13.14,10.77
CMCP Lima,31/12/2021,12.19,9.39
CMCP Lima,31/01/2022,11.33,9.29
CMCP Lima,28/02/2022,10.97,7.98
CMCP Lima,31/03/2022,10.25,6.85
CMCP Lima,30/04/2022,10.05,6.71
CMCP Lima,31/05/2022,10.47,6.65
CMCP Lima,30/06/2022,10.3,6.93
CMCP Lima,31/07/2022,10.22,7.08
CMCP Lima,31/08/2022,10.11,7.91
CMCP Lima,30/09/2022,9.91,9.4
CMAC Piura,31/01/2016,15.33,7.71
CMAC Piura,29/02/2016,15.24,7.3
CMAC Piura,31/03/2016,15.3,7.84
CMAC Piura,30/04/2016,15.24,7.72
CMAC Piura,31/05/2016,15.03,9.05
CMAC Piura,30/06/2016,15.09,7.14
CMAC Piura,31/07/2016,16.35,7.35
CMAC Piura,31/08/2016,16.35,7.28
CMAC Piura,30/09/2016,16.09,7.03
CMAC Piura,31/10/2016,15.73,6.96
CMAC Piura,30/11/2016,15.32,6.94
CMAC Piura,31/12/2016,15.05,6.67
CMAC Piura,31/01/2017,15.16,6.87
CMAC Piura,28/02/2017,14.92,7.47
CMAC Piura,31/03/2017,14.74,6.51
CMAC Piura,30/04/2017,14.39,6.78
CMAC Piura,31/05/2017,14.29,6.48
CMAC Piura,30/06/2017,14.17,6.41
CMAC Piura,31/07/2017,14.09,6.48
CMAC Piura,31/08/2017,14.15,6.39
CMAC Piura,30/09/2017,14.09,6.65
CMAC Piura,31/10/2017,14.12,6.92
CMAC Piura,30/11/2017,13.93,6.86
CMAC Piura,31/12/2017,13.69,6.71
CMAC Piura,31/01/2018,13.82,6.82
CMAC Piura,28/02/2018,13.81,7.03
CMAC Piura,31/03/2018,13.81,7.18
CMAC Piura,30/04/2018,14.02,7
CMAC Piura,31/05/2018,14.1,6.96
CMAC Piura,30/06/2018,14.12,7.17
CMAC Piura,31/07/2018,13.91,6.37
CMAC Piura,31/08/2018,13.91,6.5
CMAC Piura,30/09/2018,14.05,6.6
CMAC Piura,31/10/2018,14.7,6.79
CMAC Piura,30/11/2018,14.54,6.8
CMAC Piura,31/12/2018,14.93,6.91
CMAC Piura,31/01/2019,14.65,7.14
CMAC Piura,28/02/2019,14.34,7.34
CMAC Piura,31/03/2019,14.63,7.2
CMAC Piura,30/04/2019,14.34,7.42
CMAC Piura,31/05/2019,14.34,7.61
CMAC Piura,30/06/2019,14.63,6.81
CMAC Piura,31/07/2019,14.37,7.19
CMAC Piura,31/08/2019,14.28,7.69
CMAC Piura,30/09/2019,15.8,7.95
CMAC Piura,31/10/2019,15.4,7.91
CMAC Piura,30/11/2019,15.21,7.91
CMAC Piura,31/12/2019,15.85,8.47
CMAC Piura,31/01/2020,16.04,8.51
CMAC Piura,29/02/2020,16.08,8.57
CMAC Piura,31/03/2020,16.44,8.4
CMAC Piura,30/04/2020,16.6,8.44
CMAC Piura,31/05/2020,15.79,8.47
CMAC Piura,30/06/2020,16.99,8.26
CMAC Piura,31/07/2020,17.06,7.83
CMAC Piura,31/08/2020,17.61,7.52
CMAC Piura,30/09/2020,17.76,7.55
CMAC Piura,31/10/2020,17.22,7.37
