Entidad,Fecha,Ratio de Capital Global (%),Morosidad (%)
Banco Cencosud,31/01/2016,22.86,4.98
Banco Cencosud,29/02/2016,22.14,4.56
Banco Cencosud,31/03/2016,22.05,4.5
Banco Cencosud,30/04/2016,21.6,4.98
Banco Cencosud,31/05/2016,20.66,5.62
Banco Cencosud,30/06/2016,19.76,5.3
Banco Cencosud,31/07/2016,19.96,5.8
Banco Cencosud,31/08/2016,20.87,5.76
Banco Cencosud,30/09/2016,20.65,5.85
Banco Cencosud,31/10/2016,20.48,5.67
Banco Cencosud,30/11/2016,20.6,5.14
Banco Cencosud,31/12/2016,19.96,5.61
Banco Cencosud,31/01/2017,20.68,5.81
Banco Cencosud,28/02/2017,21.2,5.36
Banco Cencosud,31/03/2017,21.37,5.33
Banco Cencosud,30/04/2017,22.3,5.83
Banco Cencosud,31/05/2017,22.28,6.41
Banco Cencosud,30/06/2017,20.74,5.77
Banco Cencosud,31/07/2017,19.88,5.7
Banco Cencosud,31/08/2017,20.15,5.02
Banco Cencosud,30/09/2017,19.28,4.57
Banco Cencosud,31/10/2017,18.79,4.19
Banco Cencosud,30/11/2017,17.92,3.77
Banco Cencosud,31/12/2017,16.57,4.05
Banco Cencosud,31/01/2018,16.43,4.34
Banco Cencosud,28/02/2018,16.24,4.39
Banco Cencosud,31/03/2018,17.09,4.86
Banco Cencosud,30/04/2018,16.5,5.61
Banco Cencosud,31/05/2018,17.25,6.4
Banco Cencosud,30/06/2018,16.91,6.21
Banco Cencosud,31/07/2018,16.89,6.43
Banco Cencosud,31/08/2018,16.77,6.19
Banco Cencosud,30/09/2018,16.36,6
Banco Cencosud,31/10/2018,16.05,5.7
Banco Cencosud,30/11/2018,15.51,5.25
Banco Cencosud,31/12/2018,16.37,5.68
Banco Cencosud,31/01/2019,16.45,5.77
Banco Cencosud,28/02/2019,16.47,5.34
CRAC CAT,31/03/2019,16.32,5.02
CRAC CAT,30/04/2019,16.22,5.19
CRAC CAT,31/05/2019,16.18,5.64
CRAC CAT,30/06/2019,16.85,5.14
CRAC CAT,31/07/2019,16.97,5.1
CRAC CAT,31/08/2019,16.83,5.01
CRAC CAT,30/09/2019,16.88,4.82
CRAC CAT,31/10/2019,16.45,4.54
CRAC CAT,30/11/2019,16.36,4.17
CRAC CAT,31/12/2019,17.11,4.66
CRAC CAT,31/01/2020,15.49,4.86
CRAC CAT,29/02/2020,15.46,4.44
CRAC CAT,31/03/2020,15.87,4.51
CRAC CAT,30/04/2020,16.3,4.15
CRAC CAT,31/05/2020,16.27,4.23
CRAC CAT,30/06/2020,16.09,4.4
CRAC Cencosud Scotia,31/07/2020,16.08,4.62
CRAC Cencosud Scotia,31/08/2020,15.54,5.2
CRAC Cencosud Scotia,30/09/2020,15.32,6.11
CRAC Cencosud Scotia,31/10/2020,15.27,6
CRAC Cencosud Scotia,30/11/2020,15.16,6
CRAC Cencosud Scotia,31/12/2020,15.26,7.73
CRAC Cencosud Scotia,31/01/2021,16.32,12.83
CRAC Cencosud Scotia,28/02/2021,16.45,18.93
CRAC Cencosud Scotia,31/03/2021,15.62,19.94
CRAC Cencosud Scotia,30/04/2021,19.07,15.05
CRAC Cencosud Scotia,31/05/2021,19.64,9.44
CRAC Cencosud Scotia,30/06/2021,19.94,6.78
CRAC Cencosud Scotia,31/07/2021,18.18,6.35
CRAC Cencosud Scotia,31/08/2021,18.69,5.51
CRAC Cencosud Scotia,30/09/2021,19.29,4.9
CRAC Cencosud Scotia,31/10/2021,19.15,3.58
CRAC Cencosud Scotia,30/11/2021,18.68,2.82
CRAC Cencosud Scotia,31/12/2021,18.11,2.87
CRAC Cencosud Scotia,31/01/2022,14.93,3.05
CRAC Cencosud Scotia,28/02/2022,14.46,3.08
CRAC Cencosud Scotia,31/03/2022,14.67,3.15
CRAC Cencosud Scotia,30/04/2022,14.44,3.44
CRAC Cencosud Scotia,31/05/2022,14.89,3.83
CRAC Cencosud Scotia,30/06/2022,15.25,3.57
CRAC Cencosud Scotia,31/07/2022,15.45,3.74
CRAC Cencosud Scotia,31/08/2022,15.41,3.76
CRAC Cencosud Scotia,30/09/2022,15.41,3.78
CRAC Chavín,31/01/2016,10.39,15.07
CRAC Chavín,29/02/2016,10.6,15.6
CRAC Chavín,31/03/2016,10.6,15.6
CRAC Chavín,30/04/2016,10.6,15.6
CRAC Raíz,31/05/2016,21.39,5.33
CRAC Raíz,30/06/2016,20.78,5.34
CRAC Raíz,31/07/2016,19.18,5.05
CRAC Raíz,31/08/2016,19.22,5.1
CRAC Raíz,30/09/2016,18.46,5.11
CRAC Raíz,31/10/2016,17.76,5.14
CRAC Raíz,30/11/2016,17.57,4.41
CRAC Raíz,31/12/2016,16.97,4.21
