Entidad,Fecha,Ratio de Capital Global (%),Morosidad (%)
Crediscotia Financiera,31/01/2016,15.08,6.98
Crediscotia Financiera,29/02/2016,15.09,7.34
Crediscotia Financiera,31/03/2016,15.54,7.24
Crediscotia Financiera,30/04/2016,14.49,6.73
Crediscotia Financiera,31/05/2016,14.5,6.96
Crediscotia Financiera,30/06/2016,14.68,7.37
Crediscotia Financiera,31/07/2016,14.74,7.27
Crediscotia Financiera,31/08/2016,14.84,7.52
Crediscotia Financiera,30/09/2016,14.75,7.75
Crediscotia Financiera,31/10/2016,14.76,8.06
Crediscotia Financiera,30/11/2016,14.48,7.34
Crediscotia Financiera,31/12/2016,14.19,6.58
Crediscotia Financiera,31/01/2017,14.16,7.11
Crediscotia Financiera,28/02/2017,16.17,6.96
Crediscotia Financiera,31/03/2017,16.31,6.49
Crediscotia Financiera,30/04/2017,17.1,6.48
Crediscotia Financiera,31/05/2017,17.23,6.47
Crediscotia Financiera,30/06/2017,17.03,6.36
Crediscotia Financiera,31/07/2017,16.91,6.4
Crediscotia Financiera,31/08/2017,16.78,6.55
Crediscotia Financiera,30/09/2017,16.55,5.8
Crediscotia Financiera,31/10/2017,16.42,5.98
Crediscotia Financiera,30/11/2017,16.21,5.74
Crediscotia Financiera,31/12/2017,15.95,6.54
Crediscotia Financiera,31/01/2018,15.79,5.84
Crediscotia Financiera,28/02/2018,15.79,6.07
Crediscotia Financiera,31/03/2018,18.48,5.99
Crediscotia Financiera,30/04/2018,18.27,6.46
Crediscotia Financiera,31/05/2018,18.09,6.1
Crediscotia Financiera,30/06/2018,17.98,6.18
Crediscotia Financiera,31/07/2018,18.04,6.37
Crediscotia Financiera,31/08/2018,17.98,6.97
Crediscotia Financiera,30/09/2018,17.96,6.55
Crediscotia Financiera,31/10/2018,17.81,6.5
Crediscotia Financiera,30/11/2018,17.53,6.15
Crediscotia Financiera,31/12/2018,17.43,6.54
Crediscotia Financiera,31/01/2019,17.48,5.88
Crediscotia Financiera,28/02/2019,17.87,5.76
Crediscotia Financiera,31/03/2019,19.7,5.79
Crediscotia Financiera,30/04/2019,19.51,5.99
Crediscotia Financiera,31/05/2019,19.32,6.23
Crediscotia Financiera,30/06/2019,19.09,6.12
Crediscotia Financiera,31/07/2019,18.52,6.05
Crediscotia Financiera,31/08/2019,18.3,5.94
Crediscotia Financiera,30/09/2019,18.05,5.72
Crediscotia Financiera,31/10/2019,18.1,5.8
Crediscotia Financiera,30/11/2019,17.8,5.8
Crediscotia Financiera,31/12/2019,17.62,5.46
Crediscotia Financiera,31/01/2020,17.61,6.21
Crediscotia Financiera,29/02/2020,17.52,6.13
Crediscotia Financiera,31/03/2020,17.48,6.17
Crediscotia Financiera,30/04/2020,19.45,6.79
Crediscotia Financiera,31/05/2020,19.94,7.41
Crediscotia Financiera,30/06/2020,20.59,7.76
Crediscotia Financiera,31/07/2020,20.93,6.86
Crediscotia Financiera,31/08/2020,21.03,8.16
Crediscotia Financiera,30/09/2020,21.19,9.42
Crediscotia Financiera,31/10/2020,21.9,11.22
Crediscotia Financiera,30/11/2020,23.76,10.65
Crediscotia Financiera,31/12/2020,17.55,20.16
Crediscotia Financiera,31/01/2021,19.36,25.25
Crediscotia Financiera,28/02/2021,20.62,25.63
Crediscotia Financiera,31/03/2021,21.17,20.21
Crediscotia Financiera,30/04/2021,21.23,16.69
Crediscotia Financiera,31/05/2021,21.48,14.9
Crediscotia Financiera,30/06/2021,21.86,14.58
Crediscotia Financiera,31/07/2021,21.9,11.95
Crediscotia Financiera,31/08/2021,22.41,10.68
Crediscotia Financiera,30/09/2021,22.88,8.27
Crediscotia Financiera,31/10/2021,23.09,6.02
Crediscotia Financiera,30/11/2021,22.98,5.62
Crediscotia Financiera,31/12/2021,22.73,5.26
Crediscotia Financiera,31/01/2022,18.77,4.04
Crediscotia Financiera,28/02/2022,18.76,4.44
Crediscotia Financiera,31/03/2022,19.58,4.32
Crediscotia Financiera,30/04/2022,19.39,3.42
Crediscotia Financiera,31/05/2022,19.44,4.21
Crediscotia Financiera,30/06/2022,19.43,4.27
Crediscotia Financiera,31/07/2022,19.38,4.34
Crediscotia Financiera,31/08/2022,19.11,4.4
Crediscotia Financiera,30/09/2022,19.28,4.51
Financiera TFC,31/01/2016,12.99,6.07
Financiera TFC,29/02/2016,12.92,5.96
Financiera TFC,31/03/2016,12.94,6.06
Financiera TFC,30/04/2016,12.94,5.87
Financiera TFC,31/05/2016,12.92,5.83
Financiera TFC,30/06/2016,12.92,5.8
Financiera TFC,31/07/2016,12.93,5.91
Financiera TFC,31/08/2016,12.6,5.79
Financiera TFC,30/09/2016,12.49,5.73
Financiera TFC,31/10/2016,12.45,5.72
Financiera TFC,30/11/2016,12.42,5.44
Financiera TFC,31/12/2016,13,5.52
Financiera TFC,31/01/2017,12.91,5.51
Financiera TFC,28/02/2017,12.53,5.21
Financiera TFC,31/03/2017,12.36,5.35
Financiera TFC,30/04/2017,12.33,5.4
Financiera TFC,31/05/2017,12.45,5.89
Financiera TFC,30/06/2017,12.44,5.87
Financiera TFC,31/07/2017,12.02,5.81
Financiera TFC,31/08/2017,11.93,5.78
Financiera TFC,30/09/2017,12.09,5.6
