,Region,Banks_Loans,Banks_Deposits,Fin_Loans,Fin_Deposits,CMAC_Loans,CMAC_Deposits,CRAC_Loans,CRAC_Deposits,Total_pop,Total_Loans,Total_Deposits,Loan_perpop,Dep_perpop
0,Amazonas,424401.27978000004,343231.68058,70386.91756999999,5942.508739999999,560417.4443399999,177604.40342,17142.51217,2162.1108799999997,430123,1072348.15386,528940.70362,2.4931197677408554,1.2297428959158194
1,Ancash,3391674.1040699994,3432523.7205099994,305507.7885999999,79421.66996,579886.3055,328447.1972,1373.81263,176.22711999999999,1202171,4278442.010799999,3840568.8147899993,3.558929645449773,3.1946942779271827
2,Apurimac,574881.6770100001,1040072.6513100001,70741.27230000001,12162.587619999998,1031042.0701399999,436772.8932700001,18391.36457,1528.27212,426626,1695056.38402,1490536.4043200002,3.973167092535382,3.4937776983118707
3,Arequipa,8965406.696830003,10926191.195300004,1281570.04865,694899.9966200002,3985912.279950001,5564984.8080699975,92865.79216,49198.848110000006,1605569,14325754.817590004,17235274.848100003,8.922540742621466,10.73468337274823
4,Ayacucho,858164.6905300001,823301.3391799998,121744.82712,22781.568270000003,991774.49349,407149.8630999999,50227.01835,6355.2604599999995,669737,2021911.02949,1259588.0310099998,3.018962711467337,1.8807203887645445
5,Cajamarca,3772903.9681900004,2451496.0005799998,481405.05331,56516.60661000001,1429188.9997,712216.2068300002,84430.72678999999,4656.605710000001,1447707,5767928.747990001,3224885.4197299997,3.984182398779588,2.2275815615521646
6,Callao,5804299.44851,10123863.61061,286790.55010000005,159453.64874,192189.10587,234983.69989000002,5249.31624,2199.81247,1209614,6288528.420719999,10520500.771710001,5.198789382993252,8.697403280476252
7,Cusco,3294472.6137,4628227.626729999,241956.45751999997,37078.861170000004,3659316.4006299996,3091254.4933599997,55464.331829999996,7659.961520000001,1398036,7251209.80368,7764220.942779999,5.18671178973932,5.553663097931669
8,Huancavelica,112408.81700999998,131947.64459,76093.37267999999,17305.79079,448685.59556000005,224143.55559000003,3803.07596,130.76434,335142,640990.86121,373527.75531000004,1.912594844006421,1.1145357947079149
9,Huanuco,1464075.74597,1224335.06939,283173.71936,39554.2409,733367.4477299998,365482.61845999997,52567.22544,6270.16938,746509,2533184.1385,1635642.0981300003,3.3933738755996243,2.1910547603980666
10,Ica,4142599.7864200003,4003316.5404000003,386799.19571000006,62133.72713,1809439.1584600005,1373283.8585300003,1662.019,244.93417000000002,1062346,6340500.159590001,5438979.060230001,5.968394628106099,5.119781182618469
11,Junin,4287897.53698,3899961.344489999,520989.58538999996,159620.02992,3228605.2834299994,2691106.8304599994,155412.38746,118175.4775,1380561,8192904.79326,6868863.682369999,5.934475038234456,4.975414836700442
12,La Libertad,9610707.87532,9267244.774339996,795243.02512,357063.53933999984,1806646.2508599998,1744082.1704199999,6080.70735,2447.10497,2130145,12218677.85865,11370837.589069998,5.736077994056743,5.338058014393385
13,Lambayeque,5459783.465280001,3971801.27107,521051.62750999996,73192.24643999999,1110303.02395,692156.4469000001,14891.23212,6481.728480000001,1361554,7106029.348860001,4743631.69289,5.219058038726339,3.483983516548003
14,Lima,281011196.4275199,299744547.38562006,6757219.700070001,6586890.722160002,6290601.78105,9891127.891830003,628775.8149000002,823240.8334800001,11304993,294687793.72353995,317045806.83309007,26.067047871992486,28.04475923453381
15,Loreto,1695844.9349299998,1161825.40227,191726.78849,14930.38583,461414.72518,272746.5831800001,0.0,0.0,1057592,2348986.4486,1449502.37128,2.221070553294654,1.3705685853145637
16,Madre de Dios,362787.51775,452443.64161,67891.24254,8449.63199,678034.7786999999,258984.45734,0.0,0.0,197096,1108713.5389899998,719877.73094,5.6252462708020445,3.652421819519422
17,Moquegua,630912.74352,1269012.9670199999,94006.43244,24162.08236,500691.27989,323363.81939,0.0,0.0,201129,1225610.45585,1616538.8687699998,6.093653604651741,8.037323651835388
18,Pasco,436741.61048000003,612731.01405,91282.55454,29076.56864,445862.3754700001,261989.22312999997,16781.857949999998,2342.63054,265392,990668.3984400001,906139.4363599999,3.732849514830892,3.4143434480315906
19,Piura,6174204.917280001,4190298.6582200006,760540.831,85039.16391,1734754.8384,1761510.47053,2096.7171599999997,555.76644,2149978,8671597.30384,6037404.0591,4.033342342963509,2.808123645497768
20,Puno,2250951.2410099995,1963043.6941800006,223178.35519,24816.726759999998,2264714.5790100005,560247.65739,167537.85008999996,128382.41684000002,1208802,4906382.0253,2676490.4951700005,4.058879804384837,2.214167824978781
21,San Martin,2344943.0309500005,1544515.36118,276729.73123999994,20861.72856,1081881.9762399998,450045.27794000006,12305.260970000001,154.12892000000002,945523,3715859.9994000006,2015576.4966000002,3.9299519941873444,2.13170541234851
22,Tacna,1561447.05832,1855853.7018999998,158298.02768,55897.66593,887521.1357499998,658763.8561,12933.45543,2860.55851,396180,2620199.67718,2573375.7824399993,6.613659642536221,6.495471206118429
23,Tumbes,451692.54283000005,279412.36645000003,92679.85318,12071.203939999998,240062.24416999996,104291.69864999999,1564.1536899999999,0.0,266653,785998.7938699999,395775.26904,2.9476465438978745,1.48423332585795
24,Ucayali,1378089.72369,1166523.8146699998,207080.94405000005,24614.18322,428590.37534,152550.24173999997,8756.628,230.81892000000002,639279,2022517.67108,1343919.0585499997,3.163748020942343,2.1022418358025208
