,Funds,Interbank_Funds_Assets,Investments,Loans,Accounts_receivable,Income_receivable,Property,Other_Assets,Total_Assets,Deposits,Demand_deposits,Savings_depsits,Term_deposits,Financial_System_Dep,Interbank_Funds_Liabilities,Borrowings,Issues,Accounts_payable,Expenses_payable,Other_Liabilities,Provisions,Subordinated_Issues,Total_Liabilities,Type,Corp_loans,Largeb_loans,Mediumb_loans,Smallb_loans,Microb_loans,Consumer_loans,Mortg_Loans
Alfin,241999.412,0,198475.123,676473.619,22889.99,13532.791,38232.606,91161.889,1282765.432,993835.507,81176.459,142992.438,756835.836,8201.536,0,33089.62,0,22898.516,51363.372,6952.585,6174.011,44606.091,1167121.241,Bank,39938,85815.514,28370.833,37457.029,41.534,538518.89,0
BBVA,13496852.361,20000,15722431.427,73473986.189,1226333.833,630227.262,1202027.5,5398603.425,111229269.595,79002144.382,26231561.325,26082287.248,25575036.846,911159.392,94060,5692468.269,150000,5789558.324,539369.586,2810190.573,1489913.767,1451161.274,97930025.572,Bank,20366725.958,11348238.635,7317011.962,8234677.906,49836.075,13235189.708,17122949.002
BCI,334008.32,0,646219.927,1418480.614,37459.121,13758.943,5664.082,80218.434,2535809.443,1229559.881,267132.142,0,958287.338,175298.556,52000,177849,236832.516,43846.601,18093.403,12247.06,151.303,0,1945878.322,Bank,1276535.804,171631.043,0,0,0,0,0
BCP,42509094.299,0,31750364.405,111545736.036,1893221.767,1099639.125,1109441.763,4929852.038,194904561.672,133472787.797,44838691.717,54956496.232,31545960.545,1416836.175,298000,8644809.412,5830889.58,9657177.536,436760.225,2225882.492,595376.478,7358984.152,169937503.852,Bank,40923009.445,13484973.815,5137847.837,19422588.533,119340.848,18635978.048,21843939.841
BIF,3862451.26,3000,3302747.043,13678028.84,103637.391,142269.353,128979.978,598209.626,21853373.78,15670924.356,4589031.063,2798162.959,8032143.193,138982.395,155000,1931409.997,341497,686559.726,158820.419,127601.775,116812.805,610785.725,19938394.202,Bank,5052477.619,2431447.566,1053957.417,600994.588,30351.939,2019138.724,3353782.491
China Bank,2105258.633,56460,296235.061,207858.92,788.818,2161.54,4727.999,14291.078,2687782.052,2361265.708,500480.357,1051.146,1857853.163,0,0,1508.194,0,4163.714,3107.988,6134.869,10174.017,0,2386354.491,Bank,213392,0,0,0,0,0,0
Citibank,2055247.463,0,3226431.916,1575360.906,79997.47,24604.155,30648.109,2174533.571,9166823.593,4391123.625,4224710.252,60678.64,53411.757,1019596.423,0,64222.459,0,342544.036,33.651,2146099.269,14124.008,0,7977743.474,Bank,1029053.979,480032.096,45331.964,38142.687,40.132,0,0
Comercio,313184.67,0,67268.974,1639539.195,2789.338,12756.909,27915.766,50568.77,2120207.92,1467963.751,245018.07,224584.836,946708.45,5526.184,0,131871.527,0,11733.566,33966.519,9055.972,7250.786,45160.503,1712528.811,Bank,69323.388,121366.409,37199.718,30772.387,28.467,1403868.879,106402.457
Falabella,784612.784,32646,525176.365,3221780.845,168324.618,43933.088,32695.903,198364.116,5007533.723,3325277.604,0,871745.969,2437122.325,46065.585,37000,40.251,199783.234,230161.042,54528.829,74385.474,37881.192,0,4005123.215,Bank,0,0,44.842,4224.063,414.337,3486572.964,21.372
GNB,621917.79,15000,1207667.698,3739784.361,5035.456,21686.562,8622.632,98398.868,5718234.878,4119845.045,275892.642,1026904.946,2777435.168,141270.675,0,229507.06,254226.244,28223.296,51081.605,14997.354,17921.442,57039.457,4914112.183,Bank,1303532.632,377302.523,71499.41,4661.084,0,1560348.148,598738.631
ICBC,1268513.977,0,388898.466,987960.056,1003.201,12135.999,2305.338,18498.186,2679315.227,1661486.299,217157.235,0,1400951.158,10000,0,440388,0,6044.223,10184.539,9436.509,6735.321,0,2144274.893,Bank,881913.556,118616.192,0,0,0,0,0
Interbank,11458496.818,220000,11371871.642,46788933.766,990516.08,423283.18,324208.283,1654766.763,73239485.742,50153088.343,11622709.07,19350705.869,17692249.9,845089.739,0,3784624.831,2359873.322,4324520.707,271625.647,591066.62,135202.121,2319568.92,64784660.255,Bank,14803614.016,4362578.035,2018676.528,2022909.845,11939.488,15039664.436,10589080.451
Mibanco,1831895.96,0,2913426.995,11080142.644,48231.181,142368.471,112512.534,535194.612,16663773.351,10783961.691,25968.691,1785091.194,8919400.296,110522.995,52000,1825648.401,118728.772,704913.422,281219.393,29106.468,31150.852,186958.531,14124210.53,Bank,0,0,3191.738,8660163.517,2695387.872,362042.631,410877.26
Pichincha,1678855.302,0,1097496.19,7602928.353,32143.1,84795.288,74683.163,307532.399,10881367.869,7972198.103,591063.858,3915087.951,3077054.391,11664.166,0,1056828.216,116518.944,61078.282,60888.737,86563.63,87576.145,289846.016,9743162.241,Bank,1423048.119,701293.696,374353.976,418571.049,4892.45,3872235.585,1585643.565
Ripley,188668.093,37000,156801.769,1257351.304,23241.94,24479.076,6825.529,150828.502,1845196.216,1352599.502,0,598585.95,730407.913,4200,25646,0,0,51318.726,14084.553,14951.133,2598.181,0,1465398.097,Bank,0,0,0,0,0,1360418.154,0
Santander,1546807.258,532000,992306.495,5380935.392,443745.095,77884.55,11627.475,1173622.515,10165716.425,6515679.027,3983809.027,420.739,2248754.704,43948.285,0,807353.45,150100,630422.281,52603.573,528937.247,25891.437,0,8754935.302,Bank,3645480.59,1586686.098,365935.906,67.206,0,65800.663,0
Scotibank,13096896.117,0,8678991.913,45074968.066,1194229.996,335607.472,276743.188,1726844.933,70414838.447,47768243.9,15949643.932,12292026.574,15866124.424,336203.159,183000,6591644.944,3126.142,2223407.872,278097.582,767326.307,275355.285,80116.263,58506521.458,Bank,16131879.955,3824773.103,2376729.93,5554271.241,16997.025,10168086.603,11088507.126
Compartamos,396235.576,0,386637.564,3917537.328,52884.815,72440.449,57291.005,136942.607,5019969.347,2865265.957,0,669721.318,2140602.604,11.293,0,787935.391,198763.815,99286.464,82968.612,25179.575,999.847,0,4060410.957,Financial Comp,0,0,0,1865456.65,1747908.614,641509.312,0
Confianza,312211.534,0,68467.937,2137284.839,11664.836,54979.587,19171.238,79248.474,2683052.93,1554156.41,0,251878.42,1270924.138,56195.321,37000,434500,103027.02,30318.077,35493.487,6718.278,6553.291,0,2263961.887,Financial Comp,0,0,114.072,1522487.051,546864.157,236749.952,85.989
Crediscotia,291677.175,0,156171.4,2030281.55,23290.501,34213.93,12056.616,156619.598,2704310.772,1257288.579,1545.049,136544.814,1106691.302,0.397,0,173408.875,388051.676,51731.361,34883.823,30241.501,5306.692,0,1940912.907,Financial Comp,0,0,0,5842.209,4264.75,2305791.788,32755.535
Efectiva,80003.986,0,380687.615,1160428.97,36287.625,28219.767,2201.079,79840.862,1767922.133,875955.898,0,249521.785,626434.112,3780,0,313843.861,126331.062,49861.243,25330.392,7312.276,1101.875,0,1403516.608,Financial Comp,0,1759.994,0,110220.314,59576.196,838308.95,282227.354
Mitsui,33207.65,0,2832.023,1411278.231,12634.014,15775.26,6144.234,74216.157,1556087.572,0,0,0,0,0,0,1133360.052,0,51470.024,960.901,13962.912,108.986,0,1199862.876,Financial Comp,2530.967,18450.014,83440.224,410529.663,2988.229,1048684.073,0
Oh,289968.711,0,0,1400814.501,152500.575,23977.421,8813.706,91498.923,1967573.838,1231608.069,0,733099.962,459441.989,0,0,180000,89920.4,70844.212,13534.06,2657.253,2709.34,50171.669,1641445.007,Financial Comp,0,0,0,0,0,1525354.806,0
Proempresa,127357.395,0,9902.988,482488.875,1192.514,7264.293,10524.761,14896.952,657484.413,545342.898,0,21440.325,520548.396,0,0,22238.177,0,5570.563,16072.707,416.14,849.052,0,590489.54,Financial Comp,510.941,841.81,7308.994,384960.553,104641.283,39111.49,0
Qapaq,91463.906,0,7922.508,182332.71,1371.181,6587.086,11654.841,28452.642,330594.693,257309.367,0,165221.969,88819.261,0,0,0,0,5875.492,3399.932,1978.503,46.779,10713.327,279323.401,Financial Comp,0,0,0,70345.005,29805.116,111598.558,0
Surgir,50851.469,0,6986.7,301975.155,3086.824,4488.22,1569.233,38254.683,407212.286,89945.777,0,0.003,89945.773,8000,0,183300,0,7465.519,2906.02,578.891,0,0,292196.21,Financial Comp,0,0,0,226279.889,94783.384,0,0
Arequipa,731872.7267100001,0,918468.83135,8782413.78416,46375.9205,150668.45793,210546.76209,598864.23229,11440409.1568,8078106.702700001,0,2384532.78215,5336146.56648,69240.67408,0,1299650.0491300002,37801.907,153867.78364,116894.00275999999,564810.74304,1260.0619199999999,57805.303289999996,10379437.22756,CMAC,225000,6138.136,8194.167,5962528.674,1106415.855,1936420.613,261216.632
Cusco,520491.77132,0,701429.6735,5213135.3136,16793.58612,72223.98524,103537.32204000001,79089.62458000002,6706703.019200001,5212630.724110001,0,1634940.93927,3411977.0274699996,601.69675,0,542421.3097999999,0,68373.9094,92754.08751000001,48253.964770000006,571.42887,0,5965607.1212100005,CMAC,0,0,10759.451,3558783.944,624403.145,1236652.397,239143.558
